id,Details,NDVI,PLATFORM,Yield
129,HiRain_SWW_SP,0.952058271,TAMU,104
130,HiRain_SWW_SP,0.952862125,TAMU,91
131,HiRain_SWW_SP,0.950932629,TAMU,106
132,HiRain_SWW_SP,0.953412246,TAMU,88
133,HiRain_SWW_SP,0.951838821,TAMU,93
134,HiRain_SWW_SP,0.935085332,TAMU,80
135,HiRain_SWW_SP,0.941651676,TAMU,86
136,HiRain_SWW_SP,0.939759434,TAMU,94
137,HiRain_SWW_SP,0.943971378,TAMU,100
138,HiRain_SWW_SP,0.949397178,TAMU,95
139,HiRain_SWW_SP,0.916844819,TAMU,79
140,HiRain_SWW_SP,0.903988583,TAMU,79
141,HiRain_SWW_SP,0.951364808,TAMU,94
142,HiRain_SWW_SP,0.944089526,TAMU,92
143,HiRain_SWW_SP,0.946481714,TAMU,106
144,HiRain_SWW_SP,0.945532686,TAMU,94
145,HiRain_SWW_SP,0.952529889,TAMU,99
146,HiRain_SWW_SP,0.960198681,TAMU,101
147,HiRain_SWW_SP,0.956295739,TAMU,91
148,HiRain_SWW_SP,0.955425521,TAMU,92
149,HiRain_SWW_SP,0.950835055,TAMU,90
150,HiRain_SWW_SP,0.960429889,TAMU,102
151,HiRain_SWW_SP,0.966409549,TAMU,110
152,HiRain_SWW_SP,0.953408096,TAMU,106
153,HiRain_SWW_SP,0.959617817,TAMU,98
154,HiRain_SWW_SP,0.958682094,TAMU,106
155,HiRain_SWW_SP,0.962326033,TAMU,117
156,HiRain_SWW_SP,0.962807137,TAMU,111
157,HiRain_SWW_SP,0.968315152,TAMU,112
158,HiRain_SWW_SP,0.954208764,TAMU,109
159,HiRain_SWW_SP,0.958242389,TAMU,111
160,HiRain_SWW_SP,0.944692437,TAMU,83
161,HiRain_SWW_SP,0.965597111,TAMU,112
162,HiRain_SWW_SP,0.946425511,TAMU,93
163,HiRain_SWW_SP,0.937718631,TAMU,91
164,HiRain_SWW_SP,0.952352107,TAMU,92
165,HiRain_SWW_SP,0.948901622,TAMU,88
166,HiRain_SWW_SP,0.929559602,TAMU,79
167,HiRain_SWW_SP,0.93986351,TAMU,74
168,HiRain_SWW_SP,0.920782704,TAMU,77
169,HiRain_SWW_SP,0.963385095,TAMU,115
170,HiRain_SWW_SP,0.95958471,TAMU,99
171,HiRain_SWW_SP,0.934492294,TAMU,106
172,HiRain_SWW_SP,0.961199684,TAMU,109
173,HiRain_SWW_SP,0.96273783,TAMU,103
174,HiRain_SWW_SP,0.955954414,TAMU,113
175,HiRain_SWW_SP,0.949823731,TAMU,92
176,HiRain_SWW_SP,0.958832664,TAMU,118
177,HiRain_SWW_SP,0.949661318,TAMU,100
178,HiRain_SWW_SP,0.958908178,TAMU,120
179,HiRain_SWW_SP,0.964521829,TAMU,118
180,HiRain_SWW_SP,0.969189144,TAMU,122
181,HiRain_SWW_SP,0.962983687,TAMU,117
182,HiRain_SWW_SP,0.96296341,TAMU,127
183,HiRain_SWW_SP,0.971176771,TAMU,133
184,HiRain_SWW_SP,0.967551175,TAMU,129
185,HiRain_SWW_SP,0.970301919,TAMU,136
186,HiRain_SWW_SP,0.967621762,TAMU,127
187,HiRain_SWW_SP,0.96664542,TAMU,125
188,HiRain_SWW_SP,0.969835123,TAMU,111
189,HiRain_SWW_SP,0.967815392,TAMU,115
190,HiRain_SWW_SP,0.965535868,TAMU,111
191,HiRain_SWW_SP,0.964785706,TAMU,113
192,HiRain_SWW_SP,0.96410458,TAMU,109
193,HiRain_SWW_SP,0.958170723,TAMU,124
194,HiRain_SWW_SP,0.968580432,TAMU,111
195,HiRain_SWW_SP,0.959381058,TAMU,108
196,HiRain_SWW_SP,0.946676186,TAMU,103
197,HiRain_SWW_SP,0.9521025,TAMU,110
198,HiRain_SWW_SP,0.961338765,TAMU,106
199,HiRain_SWW_SP,0.96618656,TAMU,109
200,HiRain_SWW_SP,0.962182941,TAMU,103
201,HiRain_SWW_SP,0.972917315,TAMU,121
202,HiRain_SWW_SP,0.97111738,TAMU,114
203,HiRain_SWW_SP,0.963955244,TAMU,108
204,HiRain_SWW_SP,0.965111272,TAMU,114
205,HiRain_SWW_SP,0.969545003,TAMU,116
206,HiRain_SWW_SP,0.971968706,TAMU,117
207,HiRain_SWW_SP,0.973642308,TAMU,128
208,HiRain_SWW_SP,0.966739896,TAMU,129
209,HiRain_SWW_SP,0.97564658,TAMU,128
210,HiRain_SWW_SP,0.955776445,TAMU,96
211,HiRain_SWW_SP,0.966754355,TAMU,116
212,HiRain_SWW_SP,0.95899387,TAMU,99
213,HiRain_SWW_SP,0.94323558,TAMU,86
214,HiRain_SWW_SP,0.951931681,TAMU,100
215,HiRain_SWW_SP,0.964485203,TAMU,111
216,HiRain_SWW_SP,0.951352067,TAMU,97
217,HiRain_SWW_SP,0.955159299,TAMU,102
218,HiRain_SWW_SP,0.948181486,TAMU,84
219,HiRain_SWW_SP,0.932916711,TAMU,85
220,HiRain_SWW_SP,0.937842437,TAMU,91
221,HiRain_SWW_SP,0.951178785,TAMU,94
222,HiRain_SWW_SP,0.932367076,TAMU,74
223,HiRain_SWW_SP,0.92943337,TAMU,82
224,HiRain_SWW_SP,0.927418809,TAMU,78
225,HiRain_SWW_SP,0.944292377,TAMU,92
226,HiRain_SWW_SP,0.947155658,TAMU,88
227,HiRain_SWW_SP,0.935206637,TAMU,94
228,HiRain_SWW_SP,0.937804488,TAMU,90
229,HiRain_SWW_SP,0.941148303,TAMU,76
230,HiRain_SWW_SP,0.948876652,TAMU,95
231,HiRain_SWW_SP,0.92255985,TAMU,93
232,HiRain_SWW_SP,0.966723492,TAMU,97
233,HiRain_SWW_SP,0.961608141,TAMU,98
234,HiRain_SWW_SP,0.967362917,TAMU,96
235,HiRain_SWW_SP,0.968611447,TAMU,104
236,HiRain_SWW_SP,0.960579083,TAMU,108
237,HiRain_SWW_SP,0.953282767,TAMU,93
238,HiRain_SWW_SP,0.956124063,TAMU,96
239,HiRain_SWW_SP,0.956018072,TAMU,86
240,HiRain_SWW_SP,0.964378525,TAMU,97
