id,Details,NDRE,PLATFORM,Yield
199,HiRain_SWW_SP,0.275206594,TAMU,109
200,HiRain_SWW_SP,0.248091955,TAMU,103
201,HiRain_SWW_SP,0.29940687,TAMU,121
202,HiRain_SWW_SP,0.303357741,TAMU,114
203,HiRain_SWW_SP,0.267354432,TAMU,108
204,HiRain_SWW_SP,0.270236657,TAMU,114
205,HiRain_SWW_SP,0.298299159,TAMU,116
206,HiRain_SWW_SP,0.296306722,TAMU,117
207,HiRain_SWW_SP,0.293962782,TAMU,128
208,HiRain_SWW_SP,0.273644444,TAMU,129
209,HiRain_SWW_SP,0.328182494,TAMU,128
210,HiRain_SWW_SP,0.195524111,TAMU,96
211,HiRain_SWW_SP,0.25579113,TAMU,116
212,HiRain_SWW_SP,0.225012248,TAMU,99
213,HiRain_SWW_SP,0.146695798,TAMU,86
214,HiRain_SWW_SP,0.167566057,TAMU,100
215,HiRain_SWW_SP,0.206758393,TAMU,111
216,HiRain_SWW_SP,0.161207067,TAMU,97
217,HiRain_SWW_SP,0.179531022,TAMU,102
218,HiRain_SWW_SP,0.100186219,TAMU,84
219,HiRain_SWW_SP,0.114231495,TAMU,85
220,HiRain_SWW_SP,0.119432166,TAMU,91
221,HiRain_SWW_SP,0.168280776,TAMU,94
222,HiRain_SWW_SP,0.073322028,TAMU,74
223,HiRain_SWW_SP,0.091033765,TAMU,82
224,HiRain_SWW_SP,0.080259181,TAMU,78
225,HiRain_SWW_SP,0.155434245,TAMU,92
226,HiRain_SWW_SP,0.149347046,TAMU,88
227,HiRain_SWW_SP,0.12799625,TAMU,94
228,HiRain_SWW_SP,0.119519558,TAMU,90
229,HiRain_SWW_SP,0.132760433,TAMU,76
230,HiRain_SWW_SP,0.171075384,TAMU,95
231,HiRain_SWW_SP,0.118588186,TAMU,93
232,HiRain_SWW_SP,0.225848569,TAMU,97
233,HiRain_SWW_SP,0.221182896,TAMU,98
234,HiRain_SWW_SP,0.235907709,TAMU,96
235,HiRain_SWW_SP,0.248887631,TAMU,104
236,HiRain_SWW_SP,0.200948379,TAMU,108
237,HiRain_SWW_SP,0.16270346,TAMU,93
238,HiRain_SWW_SP,0.188676366,TAMU,96
239,HiRain_SWW_SP,0.166198704,TAMU,86
240,HiRain_SWW_SP,0.22224359,TAMU,97
241,HiRain_SWW_SP,0.17007846,TAMU,87
242,HiRain_SWW_SP,0.226963558,TAMU,88
243,HiRain_SWW_SP,0.048447512,TAMU,71
244,HiRain_SWW_SP,0.210428814,TAMU,81
245,HiRain_SWW_SP,0.185948597,TAMU,86
246,HiRain_SWW_SP,0.222843581,TAMU,83
247,HiRain_SWW_SP,0.206245929,TAMU,85
248,HiRain_SWW_SP,0.187908962,TAMU,90
249,HiRain_SWW_SP,0.14748865,TAMU,78
250,HiRain_SWW_SP,0.164790261,TAMU,98
1,Metribuzin_Trail_NoSpray,0.241135375,TAMU,119
2,Metribuzin_Trail_NoSpray,0.239197461,TAMU,119
3,Metribuzin_Trail_NoSpray,0.227265155,TAMU,120
4,Metribuzin_Trail_NoSpray,0.281587138,TAMU,127
5,Metribuzin_Trail_NoSpray,0.181610268,TAMU,115
6,Metribuzin_Trail_NoSpray,0.272607607,TAMU,129
7,Metribuzin_Trail_NoSpray,0.276799219,TAMU,120
8,Metribuzin_Trail_NoSpray,0.26256748,TAMU,133
9,Metribuzin_Trail_NoSpray,0.253938874,TAMU,119
10,Metribuzin_Trail_NoSpray,0.217954422,TAMU,109
11,Metribuzin_Trail_NoSpray,0.216007464,TAMU,98
12,Metribuzin_Trail_NoSpray,0.208394469,TAMU,91
13,Metribuzin_Trail_NoSpray,0.248788516,TAMU,100
14,Metribuzin_Trail_NoSpray,0.228247763,TAMU,104
15,Metribuzin_Trail_NoSpray,0.233201134,TAMU,104
16,Metribuzin_Trail_NoSpray,0.233932454,TAMU,112
17,Metribuzin_Trail_NoSpray,0.178943174,TAMU,80
18,Metribuzin_Trail_NoSpray,0.14032002,TAMU,84
19,Metribuzin_Trail_NoSpray,0.179042828,TAMU,87
20,Metribuzin_Trail_NoSpray,0.201904121,TAMU,83
